Student ID,Study Hours per Week,Attendance Rate,Previous Grades,Participation in Extracurricular Activities,Parent Education Level,Result
95,0,0,0,No,Doctorate,Fail
96,0,0,0,No,Associate,Fail
97,11,77,54,No,Associate,Pass
98,11,67,200,Yes,Master,Pass
99,10,54,49,Yes,Associate,Pass
100,8,67,91,No,Associate,Fail
101,2,78,45,No,Master,
102,7,86,61,No,High School,Fail
103,0,0,0,Yes,Bachelor,Pass
104,6,88,52,No,High School,Fail
105,9,44,71,Yes,Doctorate,Pass
106,12,92,77,Yes,Doctorate,Pass
107,19,52,47,Yes,Associate,Pass
108,10,94,65,Yes,Master,Pass
109,0,0,0,No,Associate,Pass
110,9,37,58,Yes,Master,Pass
111,0,0,0,Yes,High School,Fail
112,9,94,81,Yes,Bachelor,Fail
113,10,100,49,No,High School,Pass
114,22,59,45,Yes,Associate,Fail
115,9,78,81,Yes,Associate,Pass
116,11,88,68,No,High School,Pass
117,9,89,47,Yes,Associate,
118,4,83,63,No,Doctorate,Pass
119,15,66,55,,Bachelor,Pass
120,13,94,87,Yes,Doctorate,Pass
121,14,94,61,No,,Pass
122,5,71,73,No,High School,Pass
123,17,59,64,Yes,Doctorate,Fail
124,0,0,0,No,Doctorate,Fail
125,12,102,68,No,Bachelor,Pass
126,21,94,82,Yes,Bachelor,Fail
127,0,0,0,No,Associate,Fail
128,7,71,56,No,Doctorate,Pass
129,10,39,65,Yes,Master,Pass
130,7,73,61,No,Master,Pass
131,2,51,56,Yes,High School,Fail
132,10,78,48,No,Bachelor,Fail
133,4,98,85,No,Master,Pass
134,12,55,34,No,Bachelor,Fail
135,5,79,85,No,High School,Fail
136,17,95,44,Yes,Doctorate,Pass
137,6,79,73,No,Associate,Pass
138,8,64,56,Yes,Bachelor,Pass
139,14,75,40,No,,Pass
140,3,94,82,No,Doctorate,Pass
141,11,80,29,Yes,Associate,Pass
142,16,74,76,No,Associate,Fail
143,2,98,66,,High School,Pass
144,10,85,80,No,Bachelor,Pass
145,11,50,74,Yes,High School,Pass
146,13,87,74,Yes,Doctorate,Fail
147,3,94,78,No,Doctorate,Pass
148,0,0,0,Yes,Associate,Fail
149,0,0,0,No,High School,Fail
150,11,54,60,No,High School,Fail
151,11,73,61,Yes,Master,Pass
152,11,95,66,No,Doctorate,Pass
153,6,57,61,No,Master,
154,11,86,97,No,Bachelor,Pass
155,11,17,63,Yes,Bachelor,Fail
156,6,78,47,No,Associate,Fail
157,19,66,63,Yes,Master,Fail
158,12,117,52,No,Master,Fail
159,4,37,94,Yes,Bachelor,Pass
160,0,0,0,,Doctorate,Pass
161,5,37,74,No,Bachelor,Fail
162,13,64,72,No,Master,Pass
163,15,41,79,No,Doctorate,Pass
164,5,121,68,Yes,Doctorate,Fail
165,14,67,59,Yes,Associate,
166,12,70,65,No,High School,Fail
167,14,74,46,No,Master,Fail
168,0,0,0,Yes,Doctorate,
169,8,96,91,No,Bachelor,Fail
170,6,87,76,No,Doctorate,Fail
171,5,93,63,No,Bachelor,Fail
172,0,0,0,Yes,Master,Pass
173,9,97,55,No,High School,Fail
174,11,95,70,No,Master,Pass
175,11,70,60,Yes,Bachelor,Fail
176,14,92,61,No,Doctorate,Fail
177,10,80,70,Yes,Associate,Pass
178,17,43,73,No,Doctorate,Pass
179,8,71,62,Yes,Bachelor,Pass
180,0,0,0,Yes,Bachelor,Pass
181,13,76,92,Yes,,Pass
182,5,95,66,No,Associate,Pass
183,0,0,0,No,,Fail
184,12,66,49,Yes,Associate,Fail
185,8,58,94,No,Associate,Fail
186,13,59,102,Yes,High School,Fail
187,12,58,70,,Master,Fail
188,9,76,55,No,Doctorate,Pass
189,0,0,0,Yes,Associate,Pass
190,2,82,60,Yes,Associate,Pass
191,7,78,73,No,Master,
192,14,87,70,No,Doctorate,
193,11,122,64,No,Doctorate,Pass
194,3,77,63,Yes,Bachelor,Pass
195,10,95,61,No,Associate,Fail
196,11,94,79,No,High School,Fail
197,5,110,62,Yes,High School,Fail
198,10,86,95,No,Master,Pass
199,10,58,97,No,High School,Pass
200,0,0,0,No,Bachelor,Fail
201,11,80,59,No,Associate,Pass
202,12,91,64,Yes,Bachelor,Pass
203,15,57,55,Yes,Associate,Pass
204,15,100,77,Yes,High School,Pass
205,3,75,82,No,Master,Pass
206,5,91,84,Yes,Associate,Pass
207,12,81,61,No,Bachelor,Fail
208,12,77,61,No,Associate,Pass
209,12,79,35,No,Bachelor,Pass
210,0,0,0,Yes,Bachelor,Pass
211,12,114,51,No,Doctorate,Fail
212,15,34,48,No,Master,Fail
213,14,85,57,Yes,,
214,13,75,60,No,High School,Fail
215,8,71,64,Yes,Associate,Fail
216,13,27,85,No,Bachelor,Pass
217,6,86,82,Yes,,Fail
218,0,0,0,Yes,Doctorate,
219,7,58,71,No,Associate,Fail
220,10,75,53,Yes,Associate,Fail
221,21,69,67,Yes,Bachelor,Pass
222,0,0,0,No,High School,Pass
223,13,76,57,Yes,Bachelor,Pass
224,1,86,50,Yes,Bachelor,Pass
225,7,64,65,Yes,Associate,Pass
226,15,80,84,No,Doctorate,Pass
227,10,77,95,,Master,Pass
228,4,95,55,No,Associate,Fail
229,6,72,67,Yes,Master,Pass
230,0,0,0,Yes,High School,Pass
231,0,0,0,No,Master,Fail
232,11,114,42,Yes,High School,Fail
233,10,66,69,Yes,High School,Fail
234,6,61,59,Yes,Associate,Fail
235,20,73,44,Yes,Doctorate,Fail
236,0,0,0,Yes,High School,Pass
237,0,50,65,No,Bachelor,Fail
238,10,89,65,Yes,Master,Fail
239,6,13,48,,Master,Fail
240,14,60,39,Yes,High School,Fail
241,6,48,56,No,,Fail
242,9,77,65,Yes,Bachelor,Fail
243,12,31,54,No,Associate,Fail
244,14,86,48,No,Doctorate,Pass
245,0,0,0,Yes,Bachelor,Pass
246,8,42,65,No,Associate,Pass
247,7,78,86,,Doctorate,Fail
248,6,85,67,No,Doctorate,Pass
249,18,93,43,No,Bachelor,Pass
250,12,45,34,No,Master,Fail
251,3,42,28,No,Master,Pass
252,14,105,70,No,High School,Pass
253,20,58,49,Yes,Associate,Fail
254,15,64,72,No,Master,Fail
255,0,0,0,Yes,Associate,Pass
256,7,51,73,Yes,High School,Fail
257,16,69,61,No,Bachelor,Fail
258,6,92,92,Yes,Bachelor,Pass
259,12,46,58,No,Master,Fail
260,13,65,51,Yes,Master,Fail
261,5,52,70,Yes,Doctorate,Pass
262,9,59,76,No,Master,Pass
263,-6,98,26,Yes,High School,Pass
264,4,103,81,Yes,High School,Fail
265,8,80,40,No,Bachelor,Pass
266,3,85,34,Yes,Master,Pass
267,18,85,59,No,Associate,Fail
268,2,61,49,,Doctorate,Pass
269,7,79,71,Yes,Associate,Fail
270,10,49,70,Yes,Bachelor,Pass
271,17,55,69,Yes,Bachelor,Fail
272,2,73,83,Yes,Master,Pass
273,15,53,60,,Associate,Fail
274,10,49,70,Yes,High School,
275,0,0,0,Yes,Master,Pass
276,12,97,79,No,Doctorate,Pass
277,11,106,57,,Associate,Pass
278,7,74,60,Yes,Master,Fail
279,10,86,59,No,Doctorate,Pass
280,8,63,63,Yes,Doctorate,Fail
281,10,33,59,No,,Fail
282,13,57,32,Yes,High School,Fail
283,0,0,0,No,Bachelor,Pass
284,3,77,55,No,Associate,Pass
285,20,73,59,Yes,Doctorate,Pass
286,0,69,62,No,High School,Pass
287,9,63,72,,,Fail
288,12,81,57,No,Doctorate,Pass
289,11,47,81,No,High School,Fail
290,6,91,93,Yes,,Pass
291,9,63,89,No,Doctorate,Pass
292,7,116,68,Yes,Associate,Fail
293,7,68,56,Yes,Associate,Fail
294,14,65,56,Yes,Bachelor,Fail
295,11,63,59,No,Bachelor,Pass
296,6,65,52,Yes,High School,Pass
297,14,87,71,No,High School,Fail
298,0,0,0,No,Doctorate,Fail
299,14,94,64,Yes,Associate,Pass
300,13,84,60,Yes,Associate,Fail
301,0,0,0,No,High School,Pass
302,7,82,68,Yes,Doctorate,Fail
303,13,98,59,Yes,High School,Pass
304,13,88,62,,Bachelor,Pass
305,9,80,62,No,Bachelor,Fail
306,10,83,75,Yes,Master,Pass
307,16,51,53,No,High School,Fail
308,7,126,58,Yes,Doctorate,Pass
309,12,85,36,No,Associate,Pass
310,9,87,48,Yes,Master,Fail
311,0,0,0,Yes,Master,
312,15,29,58,No,Associate,Pass
313,14,69,35,No,Bachelor,Fail
314,14,76,72,Yes,Doctorate,Pass
315,16,58,51,Yes,Bachelor,Fail
316,0,0,0,Yes,Associate,Fail
317,13,68,70,No,Master,Fail
318,8,90,77,No,Master,Fail
319,11,100,200,Yes,Bachelor,Pass
320,9,78,75,Yes,,Fail
321,10,63,61,Yes,Doctorate,Pass
322,13,67,61,,Bachelor,Fail
323,5,77,48,Yes,High School,Pass
324,20,79,62,Yes,Doctorate,Fail
325,0,0,0,No,Master,
326,3,66,98,Yes,Master,Pass
327,15,85,72,No,Master,Fail
328,0,0,0,No,High School,Fail
329,13,67,82,Yes,High School,Pass
330,13,40,78,Yes,Associate,Pass
331,9,57,43,No,Associate,Pass
332,5,106,74,Yes,Bachelor,Pass
333,10,41,66,Yes,High School,Pass
334,6,101,54,No,Associate,Fail
335,14,40,49,No,Master,Pass
336,9,59,62,Yes,Associate,Pass
337,5,67,64,Yes,Associate,Pass
338,8,110,82,Yes,High School,Fail
339,12,75,31,Yes,Doctorate,Fail
340,7,70,46,Yes,Doctorate,Pass
341,5,56,67,No,Associate,Pass
342,11,85,62,No,Bachelor,Fail
343,11,64,66,,Associate,Pass
344,7,70,58,Yes,Master,Fail
345,7,67,68,,Master,Pass
346,11,89,41,Yes,Associate,Pass
347,2,90,96,No,Bachelor,Fail
348,3,57,71,No,Master,Fail
349,6,62,71,No,Bachelor,Fail
350,8,60,49,No,Master,Fail
351,0,0,0,Yes,High School,Fail
352,17,93,72,No,Associate,Fail
353,14,78,59,Yes,Bachelor,Fail
354,9,31,69,Yes,Bachelor,Fail
355,0,0,0,Yes,Bachelor,Pass
356,5,48,44,Yes,Associate,Pass
357,9,60,81,Yes,High School,Pass
358,8,79,51,No,,Fail
359,11,73,78,Yes,Master,Fail
360,5,92,52,No,Doctorate,Pass
361,0,0,0,No,Bachelor,Pass
362,17,55,59,Yes,Doctorate,Fail
363,9,68,61,No,High School,Fail
364,12,94,76,Yes,Master,Pass
365,13,87,89,Yes,Associate,Fail
366,0,0,0,No,Master,Fail
367,-1,101,66,No,,Fail
368,10,97,61,Yes,Doctorate,Fail
369,10,90,66,Yes,Master,Pass
370,0,0,0,No,Master,Fail
371,10,90,49,No,Doctorate,Pass
372,12,71,69,,High School,Pass
373,0,0,0,Yes,Bachelor,Pass
374,0,0,0,No,Associate,Pass
375,20,71,65,No,Bachelor,Pass
376,6,62,64,No,High School,Pass
377,14,78,72,No,Associate,Fail
378,10,71,200,Yes,,Pass
379,20,79,62,No,Doctorate,Fail
380,6,86,26,Yes,Associate,Fail
381,5,69,49,No,Associate,Fail
382,7,60,81,Yes,High School,Fail
383,0,0,0,Yes,Master,Pass
384,7,90,85,No,Associate,Pass
385,6,76,58,Yes,Associate,Fail
386,10,71,60,No,Doctorate,Fail
387,11,98,76,No,Bachelor,Pass
388,19,49,74,Yes,Doctorate,Fail
389,0,0,0,Yes,Bachelor,Pass
390,7,55,65,Yes,Bachelor,Pass
391,5,88,64,No,Associate,Fail
392,12,30,47,Yes,High School,Fail
393,3,91,56,No,Bachelor,Fail
394,19,90,69,Yes,Master,Pass
395,15,56,61,No,High School,Fail
396,7,76,79,No,High School,Fail
397,0,0,0,Yes,Master,Fail
398,16,83,79,Yes,Bachelor,Pass
399,9,91,71,Yes,Bachelor,
400,16,54,62,Yes,Doctorate,
401,2,49,76,No,Doctorate,
402,7,96,55,Yes,Bachelor,Fail
403,0,0,0,Yes,Associate,Fail
404,10,84,46,No,Doctorate,Fail
405,7,86,41,Yes,Associate,Fail
406,0,0,0,No,,Pass
407,4,78,69,Yes,Master,Fail
408,9,82,73,No,Associate,Fail
409,10,71,63,Yes,Doctorate,Fail
410,0,0,0,No,Associate,Pass
411,13,78,91,No,,Pass
412,4,81,64,Yes,Master,Pass
413,2,71,64,No,Doctorate,Fail
414,0,0,0,Yes,Doctorate,Pass
415,0,0,0,Yes,Bachelor,Pass
416,6,77,58,No,Bachelor,Fail
417,17,78,60,Yes,High School,Pass
418,10,78,31,Yes,Bachelor,Fail
419,15,67,30,Yes,Bachelor,Fail
420,10,46,64,No,Bachelor,Pass
421,20,106,77,No,Bachelor,Pass
422,0,0,0,No,,Pass
423,8,100,91,Yes,Bachelor,Fail
424,14,53,60,No,Bachelor,Pass
425,13,103,52,Yes,High School,Fail
426,16,114,43,Yes,Doctorate,Pass
427,5,95,66,No,Associate,Fail
428,0,0,0,Yes,Associate,Pass
429,0,0,0,No,,Pass
430,1,58,65,No,High School,Fail
431,0,0,0,No,Associate,Pass
432,0,0,0,No,Doctorate,Fail
433,8,63,65,Yes,Master,Pass
434,13,81,46,No,Associate,Pass
435,17,78,74,Yes,Bachelor,
436,0,0,0,Yes,Master,Pass
437,0,0,0,,High School,Pass
438,0,0,0,Yes,Associate,
439,1,86,63,Yes,High School,Pass
440,9,90,70,Yes,Bachelor,Fail
441,11,91,60,Yes,Bachelor,Pass
442,9,80,54,Yes,High School,Pass
443,0,67,49,No,Bachelor,Fail
444,0,0,0,No,Bachelor,Pass
445,3,69,56,Yes,Master,Fail
446,0,0,0,No,,Fail
447,11,83,80,Yes,Doctorate,Pass
448,5,73,67,No,Associate,Fail
449,7,59,49,No,,Fail
450,0,0,0,Yes,High School,
451,9,86,50,Yes,Bachelor,Fail
452,0,0,0,Yes,High School,Fail
453,-1,85,56,No,Associate,Pass
454,12,87,61,No,High School,Fail
455,7,45,55,No,Associate,Pass
456,0,0,0,Yes,Bachelor,Pass
457,9,68,74,No,Master,Pass
458,4,91,54,No,Doctorate,Pass
459,7,81,62,No,Master,Fail
460,4,94,57,No,Associate,Pass
461,19,117,50,Yes,Master,Pass
462,10,59,67,No,Doctorate,Fail
463,6,93,36,No,Associate,Fail
464,11,88,50,Yes,High School,Pass
465,0,0,0,No,Doctorate,Fail
466,8,89,51,Yes,Doctorate,Fail
467,13,87,48,No,High School,Fail
468,0,0,0,Yes,,Fail
469,7,93,60,Yes,High School,Pass
470,7,104,59,No,Associate,Pass
471,8,58,64,No,Master,Fail
472,-1,67,68,No,Bachelor,Fail
473,2,109,71,Yes,Master,Pass
474,16,35,52,Yes,Master,Pass
475,18,73,65,Yes,Doctorate,Fail
476,8,78,61,Yes,High School,Fail
477,12,71,63,Yes,Associate,Pass
478,11,106,58,No,High School,Fail
479,25,84,53,No,High School,Pass
480,15,67,61,,Master,Pass
481,9,62,57,Yes,Master,Fail
482,5,80,69,Yes,Master,Pass
483,2,98,79,No,High School,Pass
484,0,0,0,Yes,Bachelor,Fail
485,0,0,0,Yes,Doctorate,Pass
486,2,61,99,Yes,Bachelor,Fail
487,6,82,37,No,Associate,Fail
488,4,81,40,,High School,Pass
489,18,60,80,Yes,Master,Fail
490,14,95,93,No,Associate,Pass
491,10,109,86,No,Associate,Fail
492,17,76,69,No,Doctorate,Pass
493,10,81,58,Yes,Master,Fail
494,5,52,60,No,Associate,Pass
495,17,89,71,Yes,Bachelor,Fail
496,0,0,0,Yes,Doctorate,Pass
497,4,68,73,Yes,Doctorate,Pass
498,9,60,34,Yes,,Fail
499,5,112,47,Yes,High School,Fail
500,3,82,69,Yes,Bachelor,Pass
501,14,56,44,Yes,Doctorate,
502,0,0,0,Yes,Master,Fail
503,3,79,78,Yes,Master,Pass
504,12,76,68,Yes,Bachelor,Pass
505,6,94,88,Yes,Associate,Fail
506,0,0,0,,Doctorate,Fail
507,0,0,0,Yes,Doctorate,Pass
508,5,102,68,Yes,Doctorate,Fail
509,10,72,53,No,Associate,Pass
510,5,66,40,Yes,Doctorate,Pass
511,11,48,82,No,Master,Pass
512,9,78,62,No,Doctorate,Pass
513,8,81,85,No,High School,Fail
514,5,103,66,Yes,Associate,Fail
515,7,82,69,No,Doctorate,Pass
516,13,68,73,Yes,Doctorate,Fail
517,12,83,62,No,Bachelor,Fail
518,5,97,61,,Doctorate,Pass
519,10,92,68,Yes,Master,Fail
520,13,87,83,No,Master,Pass
521,1,80,72,Yes,Bachelor,
522,12,63,65,Yes,High School,Pass
523,6,54,58,No,High School,Fail
524,12,51,63,No,High School,Pass
525,6,82,52,Yes,Bachelor,Pass
526,1,85,50,Yes,Bachelor,Fail
527,1,96,61,No,Master,Fail
528,10,86,65,Yes,Associate,
529,11,96,75,No,Associate,Pass
530,5,72,48,No,High School,Fail
531,13,90,65,Yes,Associate,Pass
532,0,0,0,Yes,Doctorate,Fail
533,9,73,50,No,High School,Pass
534,0,0,0,No,Master,Fail
535,6,75,76,No,Associate,Fail
536,10,99,64,Yes,Bachelor,Pass
537,5,76,34,No,Associate,Fail
538,8,89,76,Yes,Master,Fail
539,15,80,66,Yes,High School,Pass
540,0,0,0,Yes,Master,Fail
541,0,0,0,No,Doctorate,Pass
542,4,98,63,Yes,High School,Fail
543,12,89,69,Yes,Master,Fail
544,17,62,80,No,Associate,Pass
545,-2,47,51,Yes,Doctorate,Fail
546,6,79,58,Yes,Doctorate,Pass
547,12,63,78,Yes,Associate,Pass
548,9,71,80,Yes,High School,Pass
549,11,45,60,Yes,,Pass
550,0,0,0,No,High School,Fail
551,10,73,72,No,Bachelor,Pass
552,0,0,0,No,,Pass
553,15,58,64,No,Master,Fail
554,11,69,64,No,Associate,Pass
555,11,77,58,Yes,Doctorate,
556,7,62,72,No,High School,Fail
557,7,70,81,No,Bachelor,Fail
558,7,102,50,No,High School,Pass
559,12,40,54,No,High School,Pass
560,0,0,0,Yes,Bachelor,Fail
561,11,59,43,No,High School,Pass
562,20,101,57,No,Associate,Pass
563,14,71,97,No,High School,Pass
564,0,0,0,No,Bachelor,Fail
565,0,0,0,Yes,High School,Pass
566,8,82,39,No,Associate,Pass
567,0,0,0,No,,Pass
568,5,32,80,Yes,Master,Fail
569,0,51,47,No,Doctorate,Fail
570,8,101,65,No,High School,Pass
571,10,44,84,Yes,High School,Fail
572,18,75,57,No,High School,Pass
573,11,65,58,Yes,Associate,Pass
574,8,62,75,Yes,Doctorate,Pass
575,0,0,0,No,Bachelor,Pass
576,-1,68,77,No,Master,Pass
577,0,0,0,Yes,Associate,Fail
578,13,101,30,Yes,Bachelor,Pass
579,2,83,71,No,Master,Fail
580,15,70,84,No,Doctorate,
581,11,80,71,No,Bachelor,Fail
582,7,91,62,Yes,Doctorate,Fail
583,13,95,46,No,High School,
584,21,82,54,No,,Fail
585,10,105,87,Yes,High School,Fail
586,11,62,200,Yes,Associate,Pass
587,7,97,55,No,Bachelor,Fail
588,5,89,41,No,,Pass
589,14,62,72,No,Bachelor,Pass
590,5,79,52,Yes,Doctorate,Pass
591,10,81,64,Yes,High School,Pass
592,7,72,90,Yes,Master,Pass
593,12,71,77,No,,Fail
594,0,0,0,No,Bachelor,Fail
595,15,61,67,No,Bachelor,Fail
596,7,70,75,,Associate,Pass
597,0,0,0,No,Associate,Fail
598,5,57,52,No,Master,Pass
599,7,96,64,No,High School,Fail
600,11,72,54,No,Doctorate,Fail
601,13,118,55,No,Associate,Pass
602,5,79,62,No,High School,Fail
603,14,95,50,Yes,Bachelor,Pass
604,16,70,59,Yes,Doctorate,Fail
605,12,61,75,Yes,Doctorate,Pass
606,19,80,63,Yes,,Fail
607,6,100,53,No,Doctorate,Pass
608,3,73,76,No,Associate,Fail
609,1,83,51,Yes,Associate,
610,17,80,48,No,,Pass
611,13,73,83,Yes,,Fail
612,9,74,77,Yes,High School,Fail
613,11,55,59,No,Doctorate,Fail
614,4,74,93,Yes,Doctorate,Fail
615,22,88,56,No,,Pass
616,10,80,75,No,Master,Fail
617,10,78,41,Yes,Doctorate,Fail
618,13,89,49,No,Master,Pass
619,0,0,0,Yes,Bachelor,
620,11,75,86,Yes,High School,
621,6,89,62,Yes,Doctorate,Fail
622,12,77,99,Yes,Doctorate,
623,19,70,84,Yes,Master,Fail
624,16,84,54,Yes,Master,Fail
625,18,74,59,No,Bachelor,Pass
626,7,69,44,No,Master,Fail
627,5,78,58,No,Doctorate,Fail
628,9,78,68,Yes,Doctorate,Pass
629,10,52,65,No,Master,Pass
630,15,81,65,No,Associate,
631,1,111,80,No,High School,Fail
632,17,55,67,Yes,Master,Fail
633,0,0,0,Yes,Doctorate,Pass
634,7,130,71,Yes,Master,
635,0,0,0,No,Master,Pass
636,1,100,78,Yes,Master,Fail
637,14,70,77,Yes,High School,Fail
638,10,76,200,No,Master,Pass
639,0,0,0,Yes,Master,Pass
640,3,83,66,No,Associate,Pass
641,8,43,50,No,,Pass
642,18,78,64,No,Doctorate,Pass
643,0,0,0,Yes,Doctorate,Pass
644,2,37,73,No,Associate,Pass
645,8,97,79,No,Bachelor,
646,0,0,0,,Associate,Fail
647,-3,118,92,No,Doctorate,Fail
648,9,87,66,Yes,Bachelor,Fail
649,8,47,62,Yes,Bachelor,Pass
650,13,101,43,No,High School,Fail
651,19,60,79,No,Bachelor,
652,15,60,74,No,Associate,Pass
653,0,0,0,Yes,High School,Pass
654,4,57,68,No,Master,Pass
655,22,60,64,Yes,High School,Pass
656,10,91,67,No,Bachelor,Fail
657,10,98,60,No,High School,Pass
658,9,50,66,No,Doctorate,Fail
659,0,0,0,Yes,Master,Fail
660,9,38,58,No,Master,Pass
661,7,80,69,No,Doctorate,Pass
662,0,0,0,No,,Pass
663,9,39,70,No,Associate,Pass
664,7,54,96,Yes,High School,Pass
665,0,0,0,No,High School,Fail
666,10,91,37,Yes,Bachelor,Pass
667,8,56,83,No,Associate,Fail
668,17,104,96,No,Bachelor,Pass
669,-3,58,70,Yes,Associate,Pass
670,15,108,65,No,Master,Fail
671,16,84,55,Yes,Associate,Fail
672,0,100,73,No,Bachelor,Pass
673,8,82,64,No,High School,Pass
674,0,0,0,No,Master,Fail
675,3,89,39,No,Doctorate,Fail
676,0,0,0,Yes,Bachelor,Fail
677,0,0,0,Yes,Master,Pass
678,18,57,79,Yes,Master,Fail
679,14,73,47,No,Associate,Pass
680,16,61,74,Yes,Associate,Pass
681,13,63,56,Yes,High School,
682,4,108,58,No,Master,Pass
683,7,87,77,Yes,Doctorate,Pass
684,0,0,0,No,Associate,Pass
685,3,96,42,Yes,Bachelor,Fail
686,13,87,66,Yes,High School,Fail
687,8,112,55,No,Bachelor,Fail
688,8,33,44,Yes,Doctorate,Fail
689,0,0,0,No,High School,Fail
690,12,61,69,No,Associate,Fail
691,8,47,66,Yes,High School,Fail
692,15,77,72,No,High School,Pass
693,4,78,35,Yes,Doctorate,Pass
694,13,114,53,No,Master,Pass
695,13,93,69,No,Associate,Fail
696,8,64,80,Yes,Bachelor,Fail
697,11,84,68,,Master,Fail
698,0,0,0,No,Bachelor,Pass
699,14,77,54,No,High School,Pass
700,9,76,55,No,Doctorate,Pass
701,7,57,59,No,Bachelor,Pass
702,15,71,63,Yes,Master,Fail
703,6,61,38,No,High School,Pass
704,3,56,64,,Doctorate,Fail
705,2,88,64,Yes,Associate,Fail
706,13,95,55,Yes,,Fail
707,3,85,53,No,Associate,Pass
708,0,0,0,No,High School,Fail
709,0,61,73,Yes,Bachelor,Fail
710,18,66,67,No,Doctorate,Fail
711,11,70,67,No,Master,Fail
712,9,57,64,No,Master,Fail
713,7,96,65,Yes,Master,Fail
714,12,71,75,No,High School,Fail
715,9,90,89,No,High School,Pass
716,15,47,87,No,Doctorate,Pass
717,10,61,48,No,High School,Pass
718,10,92,33,Yes,Doctorate,Pass
719,8,92,73,No,Bachelor,Pass
720,9,50,65,Yes,,Pass
721,11,81,64,No,Associate,Fail
722,1,81,70,No,High School,Pass
723,3,60,61,No,Bachelor,Pass
724,13,82,40,Yes,,Pass
725,10,43,47,No,Bachelor,Pass
726,9,56,48,,High School,Pass
727,10,87,75,No,Master,
728,11,75,93,Yes,Master,Fail
729,7,76,58,Yes,Associate,Fail
730,6,71,104,No,High School,Pass
731,11,85,36,Yes,Associate,Fail
732,5,86,57,Yes,Associate,Fail
733,12,90,67,No,Bachelor,Fail
